2025-10-04 15:58:22 | INFO | SchemaMapper | Mapeando 403915 registros com 32 colunas
2025-10-04 15:58:22 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 15:58:23 | INFO | SchemaMapper | ✓ Mapeamento concluído: 403915 registros, 32 colunas padrão
2025-10-04 15:58:46 | INFO | SchemaMapper | Mapeando 407245 registros com 32 colunas
2025-10-04 15:58:46 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 15:58:47 | INFO | SchemaMapper | ✓ Mapeamento concluído: 407245 registros, 32 colunas padrão
2025-10-04 15:59:14 | INFO | SchemaMapper | Mapeando 411090 registros com 32 colunas
2025-10-04 15:59:14 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 15:59:15 | INFO | SchemaMapper | ✓ Mapeamento concluído: 411090 registros, 32 colunas padrão
2025-10-04 15:59:38 | INFO | SchemaMapper | Mapeando 415029 registros com 32 colunas
2025-10-04 15:59:38 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 15:59:38 | INFO | SchemaMapper | ✓ Mapeamento concluído: 415029 registros, 32 colunas padrão
2025-10-04 16:03:16 | INFO | SchemaMapper | Mapeando 403915 registros com 32 colunas
2025-10-04 16:03:16 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 16:03:17 | INFO | SchemaMapper | ✓ Mapeamento concluído: 403915 registros, 32 colunas padrão
2025-10-04 16:03:47 | INFO | SchemaMapper | Mapeando 407245 registros com 32 colunas
2025-10-04 16:03:47 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 16:03:48 | INFO | SchemaMapper | ✓ Mapeamento concluído: 407245 registros, 32 colunas padrão
2025-10-04 16:04:13 | INFO | SchemaMapper | Mapeando 411090 registros com 32 colunas
2025-10-04 16:04:13 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 16:04:14 | INFO | SchemaMapper | ✓ Mapeamento concluído: 411090 registros, 32 colunas padrão
2025-10-04 16:04:40 | INFO | SchemaMapper | Mapeando 415029 registros com 32 colunas
2025-10-04 16:04:40 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 16:04:41 | INFO | SchemaMapper | ✓ Mapeamento concluído: 415029 registros, 32 colunas padrão
2025-10-04 16:06:20 | INFO | SchemaMapper | Mapeando 403915 registros com 32 colunas
2025-10-04 16:06:20 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 16:06:20 | INFO | SchemaMapper | ✓ Mapeamento concluído: 403915 registros, 32 colunas padrão
2025-10-04 16:07:01 | INFO | SchemaMapper | Mapeando 407245 registros com 32 colunas
2025-10-04 16:07:01 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 16:07:01 | INFO | SchemaMapper | ✓ Mapeamento concluído: 407245 registros, 32 colunas padrão
2025-10-04 16:07:24 | INFO | SchemaMapper | Mapeando 411090 registros com 32 colunas
2025-10-04 16:07:24 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 16:07:25 | INFO | SchemaMapper | ✓ Mapeamento concluído: 411090 registros, 32 colunas padrão
2025-10-04 16:07:48 | INFO | SchemaMapper | Mapeando 415029 registros com 32 colunas
2025-10-04 16:07:48 | INFO | SchemaMapper | Colunas originais: ['Número do contribuinte', 'ano do exercício', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 16:07:48 | INFO | SchemaMapper | ✓ Mapeamento concluído: 415029 registros, 32 colunas padrão
2025-10-04 16:08:10 | INFO | SchemaMapper | Mapeando 1 registros com 2 colunas
2025-10-04 16:08:10 | INFO | SchemaMapper | Colunas originais: ['fields', 'records']...
2025-10-04 16:08:10 | WARNING | SchemaMapper | Coluna 'fields' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:08:10 | WARNING | SchemaMapper | Coluna 'records' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:08:10 | INFO | SchemaMapper | ✓ Mapeamento concluído: 1 registros, 32 colunas padrão
2025-10-04 16:21:24 | INFO | SchemaMapper | Mapeando 403915 registros com 32 colunas
2025-10-04 16:21:24 | INFO | SchemaMapper | Colunas originais: ['NÃºmero do contribuinte', 'ano do exercÃ\xadcio', 'data do cadastramento', 'tipo de contribuinte', 'CPF/CNPJ mascarado do contribuinte']...
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'NÃºmero do contribuinte' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'ano do exercÃ­cio' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'fraÃ§Ã£o ideal' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'Ã¡rea ocupada' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'valor do m2 de construÃ§Ã£o' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'ano da construÃ§Ã£o corrigido' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'tipo de uso do imÃ³vel' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'tipo de padrÃ£o da construÃ§Ã£o' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'fator de obsolescÃªncia' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'ano e mÃªs de inÃ­cio da contribuiÃ§Ã£o' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'valor total do imÃ³vel estimado' não encontrada no mapeamento, mantendo nome original
2025-10-04 16:21:24 | WARNING | SchemaMapper | Coluna 'Regime de TributaÃ§Ã£o do iptu' não encontrada no mapeamento, mantendo nome original
