2025-10-04 16:30:53 | INFO | quality_checker |   - Registros inválidos: 3324 (0.81%)
2025-10-04 16:30:53 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:30:53 | INFO | quality_checker |     • valor_total_invalido: 3324 ocorrências
2025-10-04 16:30:53 | INFO | quality_checker |     • valor_iptu_invalido: 4 ocorrências
2025-10-04 16:31:13 | INFO | quality_checker | Iniciando validação de 415029 registros
2025-10-04 16:31:13 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:31:13 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:31:13 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:31:14 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:31:14 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:31:14 | INFO | quality_checker |   - Registros válidos: 411162 (99.07%)
2025-10-04 16:31:14 | INFO | quality_checker |   - Registros inválidos: 3867 (0.93%)
2025-10-04 16:31:14 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:31:14 | INFO | quality_checker |     • valor_total_invalido: 3867 ocorrências
2025-10-04 16:31:14 | INFO | quality_checker |     • valor_iptu_invalido: 7 ocorrências
2025-10-04 16:33:12 | INFO | quality_checker | Iniciando validação de 403915 registros
2025-10-04 16:33:12 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:33:12 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:33:12 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:33:13 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:33:13 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:33:13 | INFO | quality_checker |   - Registros válidos: 401458 (99.39%)
2025-10-04 16:33:13 | INFO | quality_checker |   - Registros inválidos: 2457 (0.61%)
2025-10-04 16:33:13 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:33:13 | INFO | quality_checker |     • valor_total_invalido: 2457 ocorrências
2025-10-04 16:33:13 | INFO | quality_checker |     • valor_iptu_invalido: 3 ocorrências
2025-10-04 16:33:37 | INFO | quality_checker | Iniciando validação de 407245 registros
2025-10-04 16:33:37 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:33:38 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:33:38 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:33:38 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:33:39 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:33:39 | INFO | quality_checker |   - Registros válidos: 404562 (99.34%)
2025-10-04 16:33:39 | INFO | quality_checker |   - Registros inválidos: 2683 (0.66%)
2025-10-04 16:33:39 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:33:39 | INFO | quality_checker |     • valor_total_invalido: 2683 ocorrências
2025-10-04 16:33:39 | INFO | quality_checker |     • valor_iptu_invalido: 4 ocorrências
2025-10-04 16:34:02 | INFO | quality_checker | Iniciando validação de 411090 registros
2025-10-04 16:34:02 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:34:03 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:34:03 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:34:03 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:34:04 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:34:04 | INFO | quality_checker |   - Registros válidos: 407766 (99.19%)
2025-10-04 16:34:04 | INFO | quality_checker |   - Registros inválidos: 3324 (0.81%)
2025-10-04 16:34:04 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:34:04 | INFO | quality_checker |     • valor_total_invalido: 3324 ocorrências
2025-10-04 16:34:04 | INFO | quality_checker |     • valor_iptu_invalido: 4 ocorrências
2025-10-04 16:34:24 | INFO | quality_checker | Iniciando validação de 415029 registros
2025-10-04 16:34:24 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:34:25 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:34:25 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:34:25 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:34:26 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:34:26 | INFO | quality_checker |   - Registros válidos: 411162 (99.07%)
2025-10-04 16:34:26 | INFO | quality_checker |   - Registros inválidos: 3867 (0.93%)
2025-10-04 16:34:26 | INFO | quality_checker |   - Tipos de erros mais comuns:
2025-10-04 16:34:26 | INFO | quality_checker |     • valor_total_invalido: 3867 ocorrências
2025-10-04 16:34:26 | INFO | quality_checker |     • valor_iptu_invalido: 7 ocorrências
2025-10-04 16:34:36 | INFO | quality_checker | Iniciando validação de 500 registros
2025-10-04 16:35:41 | INFO | quality_checker | Iniciando validação de 403915 registros
2025-10-04 16:35:41 | INFO | quality_checker | Verificando completude dos campos obrigatórios...
2025-10-04 16:35:42 | INFO | quality_checker | Verificando consistência do ano...
2025-10-04 16:35:42 | INFO | quality_checker | Verificando consistência de valor_total...
2025-10-04 16:35:42 | INFO | quality_checker | Verificando consistência de valor_iptu...
2025-10-04 16:35:43 | INFO | quality_checker | ✓ Validação concluída:
2025-10-04 16:35:43 | INFO | quality_checker |   - Registros válidos: 401458 (99.39%)
