2025-10-04 16:36:15 | INFO | Harmonizer | ✓ Harmonização concluída: 404562 registros
2025-10-04 16:36:31 | INFO | Harmonizer | Iniciando harmonização de 407766 registros
2025-10-04 16:36:33 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:36:36 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:36:36 | INFO | Harmonizer | ✓ Harmonização concluída: 407766 registros
2025-10-04 16:36:52 | INFO | Harmonizer | Iniciando harmonização de 411162 registros
2025-10-04 16:36:55 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:36:57 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:36:57 | INFO | Harmonizer | ✓ Harmonização concluída: 411162 registros
2025-10-04 16:39:08 | INFO | Harmonizer | Iniciando harmonização de 401458 registros
2025-10-04 16:39:10 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:39:13 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:39:13 | INFO | Harmonizer | ✓ Harmonização concluída: 401458 registros
2025-10-04 16:39:32 | INFO | Harmonizer | Iniciando harmonização de 404562 registros
2025-10-04 16:39:35 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:39:37 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:39:37 | INFO | Harmonizer | ✓ Harmonização concluída: 404562 registros
2025-10-04 16:39:56 | INFO | Harmonizer | Iniciando harmonização de 407766 registros
2025-10-04 16:39:59 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:40:01 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:40:01 | INFO | Harmonizer | ✓ Harmonização concluída: 407766 registros
2025-10-04 16:40:17 | INFO | Harmonizer | Iniciando harmonização de 411162 registros
2025-10-04 16:40:20 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:40:22 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:40:22 | INFO | Harmonizer | ✓ Harmonização concluída: 411162 registros
2025-10-04 16:40:27 | INFO | Harmonizer | Iniciando harmonização de 500 registros
2025-10-04 16:40:27 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:40:27 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:40:27 | INFO | Harmonizer | ✓ Harmonização concluída: 500 registros
2025-10-04 16:42:14 | INFO | Harmonizer | Iniciando harmonização de 401458 registros
2025-10-04 16:42:17 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:42:19 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:42:19 | INFO | Harmonizer | ✓ Harmonização concluída: 401458 registros
2025-10-04 16:42:43 | INFO | Harmonizer | Iniciando harmonização de 404562 registros
2025-10-04 16:42:48 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
2025-10-04 16:42:54 | INFO | Harmonizer | ✓ Tipos de dados ajustados
2025-10-04 16:42:54 | INFO | Harmonizer | ✓ Harmonização concluída: 404562 registros
2025-10-04 16:43:18 | INFO | Harmonizer | Iniciando harmonização de 407766 registros
2025-10-04 16:43:21 | INFO | Harmonizer | Garantindo tipos consistentes para Parquet...
