2025-10-04 16:04:10 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 16:04:29 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (411090 records)
2025-10-04 16:04:36 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:04:53 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (415029 records)
2025-10-04 16:04:54 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 16:06:07 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 16:06:07 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 16:06:07 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 16:06:16 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 16:06:48 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (403915 records)
2025-10-04 16:06:57 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 16:07:14 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (407245 records)
2025-10-04 16:07:21 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
2025-10-04 16:07:38 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2022/iptu_2022.parquet (411090 records)
2025-10-04 16:07:44 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2023/iptu_2023.zip (13285089 bytes)
2025-10-04 16:08:09 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2023/iptu_2023.parquet (415029 records)
2025-10-04 16:08:10 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2024/iptu_2024.zip (33823 bytes)
2025-10-04 16:08:10 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2024/iptu_2024.parquet (1 records)
2025-10-04 16:08:26 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/iptu_unificado.parquet (1637280 records)
2025-10-04 16:08:27 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-quality/quality_report.json (661 bytes)
2025-10-04 16:21:12 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-raw
2025-10-04 16:21:12 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-processed
2025-10-04 16:21:12 | INFO | S3Loader | S3Loader initialized for bucket: iptu-recife-quality
2025-10-04 16:21:22 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2020/iptu_2020.zip (12667450 bytes)
2025-10-04 16:21:37 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2020/iptu_2020.parquet (403915 records)
2025-10-04 16:21:44 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2021/iptu_2021.zip (13820870 bytes)
2025-10-04 16:21:56 | INFO | S3Loader | DataFrame uploaded to s3://iptu-recife-processed/year=2021/iptu_2021.parquet (407245 records)
2025-10-04 16:22:03 | INFO | S3Loader | Bytes uploaded to s3://iptu-recife-raw/year=2022/iptu_2022.zip (13221687 bytes)
