2025-10-04 15:58:19 | INFO | main | 📦 2020 raw enviado para s3://iptu-recife-raw/year=2020/iptu_2020.zip
2025-10-04 15:58:22 | INFO | main | ✓ 403915 registros válidos e 0 inválidos do ano 2020
2025-10-04 15:58:35 | INFO | main | ✅ 2020 processados enviados para s3://iptu-recife-processed/year=2020/iptu_2020.parquet
2025-10-04 15:58:35 | INFO | main | 📥 Processando IPTU 2021 (csv)
2025-10-04 15:58:39 | INFO | main | ✓ Download concluído: 13820870 bytes
2025-10-04 15:58:43 | INFO | main | 📦 2021 raw enviado para s3://iptu-recife-raw/year=2021/iptu_2021.zip
2025-10-04 15:58:46 | INFO | main | ✓ 407245 registros válidos e 0 inválidos do ano 2021
2025-10-04 15:58:58 | INFO | main | ✅ 2021 processados enviados para s3://iptu-recife-processed/year=2021/iptu_2021.parquet
2025-10-04 15:58:58 | INFO | main | 📥 Processando IPTU 2022 (csv)
2025-10-04 15:59:07 | INFO | main | ✓ Download concluído: 13221687 bytes
2025-10-04 15:59:11 | INFO | main | 📦 2022 raw enviado para s3://iptu-recife-raw/year=2022/iptu_2022.zip
2025-10-04 15:59:14 | INFO | main | ✓ 411090 registros válidos e 0 inválidos do ano 2022
2025-10-04 15:59:26 | INFO | main | ✅ 2022 processados enviados para s3://iptu-recife-processed/year=2022/iptu_2022.parquet
2025-10-04 15:59:26 | INFO | main | 📥 Processando IPTU 2023 (csv)
2025-10-04 15:59:30 | INFO | main | ✓ Download concluído: 13285089 bytes
2025-10-04 15:59:34 | INFO | main | 📦 2023 raw enviado para s3://iptu-recife-raw/year=2023/iptu_2023.zip
2025-10-04 15:59:38 | INFO | main | ✓ 415029 registros válidos e 0 inválidos do ano 2023
2025-10-04 16:03:00 | INFO | main | Iniciando pipeline IPTU Recife 🚀
2025-10-04 16:03:00 | INFO | main | 📥 Processando IPTU 2020 (csv)
2025-10-04 16:03:05 | INFO | main | ✓ Download concluído: 12667450 bytes
2025-10-04 16:03:13 | INFO | main | 📦 2020 raw enviado para s3://iptu-recife-raw/year=2020/iptu_2020.zip
2025-10-04 16:03:16 | INFO | main | ✓ 403915 registros válidos e 0 inválidos do ano 2020
2025-10-04 16:03:31 | INFO | main | ✅ 2020 processados enviados para s3://iptu-recife-processed/year=2020/iptu_2020.parquet
