2025-10-04 16:42:10 | INFO | csv_ingestor | ✓ CSV carregado: 403915 registros, 32 colunas
2025-10-04 16:42:34 | INFO | csv_ingestor | Lendo arquivo iptu_2021.csv do ZIP...
2025-10-04 16:42:34 | INFO | csv_ingestor | Arquivo encontrado: iptu_2021.csv
2025-10-04 16:42:39 | INFO | csv_ingestor | ✓ CSV carregado: 407245 registros, 32 colunas
2025-10-04 16:43:09 | INFO | csv_ingestor | Lendo arquivo iptu_2022.csv do ZIP...
2025-10-04 16:43:09 | INFO | csv_ingestor | Arquivo encontrado: iptu_2022.csv
2025-10-04 16:43:12 | INFO | csv_ingestor | ✓ CSV carregado: 411090 registros, 32 colunas
2025-10-04 16:43:34 | INFO | csv_ingestor | Lendo arquivo iptu_2023.csv do ZIP...
2025-10-04 16:43:34 | INFO | csv_ingestor | Arquivo encontrado: iptu_2023.csv
2025-10-04 16:43:39 | INFO | csv_ingestor | ✓ CSV carregado: 415029 registros, 32 colunas
2025-10-04 17:20:05 | INFO | csv_ingestor | Lendo arquivo iptu_2020.csv do ZIP...
2025-10-04 17:20:05 | INFO | csv_ingestor | Arquivo encontrado: iptu_2020.csv
2025-10-04 17:20:09 | INFO | csv_ingestor | ✓ CSV carregado: 403915 registros, 32 colunas
2025-10-04 17:20:44 | INFO | csv_ingestor | Lendo arquivo iptu_2021.csv do ZIP...
2025-10-04 17:20:44 | INFO | csv_ingestor | Arquivo encontrado: iptu_2021.csv
2025-10-04 17:20:51 | INFO | csv_ingestor | ✓ CSV carregado: 407245 registros, 32 colunas
2025-10-04 17:21:33 | INFO | csv_ingestor | Lendo arquivo iptu_2022.csv do ZIP...
2025-10-04 17:21:33 | INFO | csv_ingestor | Arquivo encontrado: iptu_2022.csv
2025-10-04 17:21:37 | INFO | csv_ingestor | ✓ CSV carregado: 411090 registros, 32 colunas
2025-10-04 17:22:02 | INFO | csv_ingestor | Lendo arquivo iptu_2023.csv do ZIP...
2025-10-04 17:22:02 | INFO | csv_ingestor | Arquivo encontrado: iptu_2023.csv
2025-10-04 17:22:06 | INFO | csv_ingestor | ✓ CSV carregado: 415029 registros, 32 colunas
2025-10-04 17:25:20 | INFO | csv_ingestor | Lendo arquivo iptu_2020.csv do ZIP...
2025-10-04 17:25:20 | INFO | csv_ingestor | Arquivo encontrado: iptu_2020.csv
2025-10-04 17:25:24 | INFO | csv_ingestor | ✓ CSV carregado: 403915 registros, 32 colunas
2025-10-04 17:26:00 | INFO | csv_ingestor | Lendo arquivo iptu_2021.csv do ZIP...
2025-10-04 17:26:00 | INFO | csv_ingestor | Arquivo encontrado: iptu_2021.csv
2025-10-04 17:26:06 | INFO | csv_ingestor | ✓ CSV carregado: 407245 registros, 32 colunas
2025-10-04 17:26:38 | INFO | csv_ingestor | Lendo arquivo iptu_2022.csv do ZIP...
2025-10-04 17:26:38 | INFO | csv_ingestor | Arquivo encontrado: iptu_2022.csv
2025-10-04 17:26:43 | INFO | csv_ingestor | ✓ CSV carregado: 411090 registros, 32 colunas
2025-10-04 17:27:08 | INFO | csv_ingestor | Lendo arquivo iptu_2023.csv do ZIP...
2025-10-04 17:27:08 | INFO | csv_ingestor | Arquivo encontrado: iptu_2023.csv
2025-10-04 17:27:12 | INFO | csv_ingestor | ✓ CSV carregado: 415029 registros, 32 colunas
2025-10-04 17:36:07 | INFO | csv_ingestor | Lendo arquivo iptu_2020.csv do ZIP...
2025-10-04 17:36:07 | INFO | csv_ingestor | Arquivo encontrado: iptu_2020.csv
2025-10-04 17:36:11 | INFO | csv_ingestor | ✓ CSV carregado: 403915 registros, 32 colunas
2025-10-04 17:36:49 | INFO | csv_ingestor | Lendo arquivo iptu_2021.csv do ZIP...
2025-10-04 17:36:49 | INFO | csv_ingestor | Arquivo encontrado: iptu_2021.csv
2025-10-04 17:36:55 | INFO | csv_ingestor | ✓ CSV carregado: 407245 registros, 32 colunas
2025-10-04 17:37:25 | INFO | csv_ingestor | Lendo arquivo iptu_2022.csv do ZIP...
2025-10-04 17:37:25 | INFO | csv_ingestor | Arquivo encontrado: iptu_2022.csv
2025-10-04 17:37:27 | ERROR | csv_ingestor | Erro ao ler CSV do ZIP: Error tokenizing data. C error: out of memory
2025-10-04 17:39:33 | INFO | csv_ingestor | Lendo arquivo iptu_2020.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 17:39:33 | INFO | csv_ingestor | Arquivo encontrado: iptu_2020.csv
2025-10-04 17:39:41 | INFO | csv_ingestor | ✓ CSV carregado: 403915 registros, 32 colunas
2025-10-04 17:40:13 | INFO | csv_ingestor | Lendo arquivo iptu_2021.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 17:40:13 | INFO | csv_ingestor | Arquivo encontrado: iptu_2021.csv
2025-10-04 17:40:16 | INFO | csv_ingestor | ✓ CSV carregado: 407245 registros, 32 colunas
2025-10-04 17:40:42 | INFO | csv_ingestor | Lendo arquivo iptu_2022.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 17:40:42 | INFO | csv_ingestor | Arquivo encontrado: iptu_2022.csv
2025-10-04 17:40:49 | INFO | csv_ingestor | ✓ CSV carregado: 411090 registros, 32 colunas
2025-10-04 17:41:13 | INFO | csv_ingestor | Lendo arquivo iptu_2023.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 17:41:13 | INFO | csv_ingestor | Arquivo encontrado: iptu_2023.csv
2025-10-04 17:41:17 | INFO | csv_ingestor | ✓ CSV carregado: 415029 registros, 32 colunas
2025-10-04 19:15:27 | INFO | csv_ingestor | Lendo arquivo arquivo_inexistente.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 19:15:27 | ERROR | csv_ingestor | Erro: Arquivo CSV 'arquivo_inexistente.csv' não encontrado no ZIP. Arquivos disponíveis: <MagicMock name='mock.__enter__().namelist()' id='1501685657824'>
2025-10-04 19:15:42 | INFO | csv_ingestor | Lendo arquivo arquivo_inexistente.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 19:15:42 | ERROR | csv_ingestor | Erro: Arquivo CSV 'arquivo_inexistente.csv' não encontrado no ZIP. Arquivos disponíveis: <MagicMock name='mock.__enter__().namelist()' id='2594619699424'>
2025-10-04 19:19:33 | INFO | csv_ingestor | Lendo arquivo arquivo_inexistente.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 19:19:33 | ERROR | csv_ingestor | Erro: Arquivo CSV 'arquivo_inexistente.csv' não encontrado no ZIP. Arquivos disponíveis: <MagicMock name='mock.__enter__().namelist()' id='3053329559776'>
2025-10-04 19:19:44 | INFO | csv_ingestor | Lendo arquivo arquivo_inexistente.csv do ZIP em chunks (tamanho: 50000)...
2025-10-04 19:19:44 | ERROR | csv_ingestor | Erro: Arquivo CSV 'arquivo_inexistente.csv' não encontrado no ZIP. Arquivos disponíveis: <MagicMock name='mock.__enter__().namelist()' id='1734417952992'>
